City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,55.27,94,100,3.44,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,44.47,86,100,5.86,light rain
2,Yingcheng,CN,30.95,113.55,91.02,67,40,9.19,scattered clouds
3,Kamaishi,JP,39.2667,141.8833,83.26,75,16,12.03,few clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,48,4.0,scattered clouds
5,Pangoa,PE,-12.1167,-73.0,65.35,72,37,2.77,scattered clouds
6,Naze,JP,28.3667,129.4833,80.37,87,85,17.87,light rain
7,Avarua,CK,-21.2078,-159.775,75.25,94,75,10.36,light rain
8,Ushuaia,AR,-54.8,-68.3,38.86,81,40,6.91,scattered clouds
9,Walvis Bay,NA,-22.9575,14.5053,74.35,16,0,18.41,clear sky
10,Yining,CN,29.0361,114.5636,95.4,51,0,3.51,clear sky
11,Manggar,ID,-2.8833,108.2667,85.26,63,91,12.59,overcast clouds
12,Kapaa,US,22.0752,-159.319,85.98,78,45,3.0,scattered clouds
13,Solnechnyy,RU,50.7214,136.6319,74.57,60,97,5.66,overcast clouds
14,Jacareacanga,BR,-6.2222,-57.7528,78.01,47,58,1.1,broken clouds
15,Port Elizabeth,ZA,-33.918,25.5701,61.11,94,75,11.5,moderate rain
16,Namibe,AO,-15.1961,12.1522,66.25,87,5,2.06,clear sky
17,Provideniya,RU,64.3833,-173.3,42.91,81,90,20.13,moderate rain
18,Ostrovnoy,RU,68.0531,39.5131,52.43,77,38,8.43,scattered clouds
19,Changli,CN,39.7042,119.1506,79.47,66,2,7.85,clear sky
20,Tafo,GH,6.7345,-1.6127,68.36,98,9,2.91,clear sky
21,Suba,PH,10.8438,121.0102,84.15,80,95,18.77,overcast clouds
22,Quatre Cocos,MU,-20.2078,57.7625,68.11,69,6,12.88,clear sky
23,Djambala,CG,-2.5447,14.7533,71.74,65,99,5.35,overcast clouds
24,Bauchi,NG,10.5,10.0,69.17,98,100,6.58,light rain
25,Port Hawkesbury,CA,45.6169,-61.3485,62.58,93,1,1.01,clear sky
26,Katsuura,JP,35.1333,140.3,89.64,82,79,10.51,broken clouds
27,Yellowknife,CA,62.456,-114.3525,81.28,34,20,8.05,few clouds
28,Esperance,AU,-33.8667,121.9,55.9,62,99,17.49,overcast clouds
29,Busselton,AU,-33.65,115.3333,54.05,69,100,8.86,overcast clouds
30,Lebu,CL,-37.6167,-73.65,49.75,80,6,16.91,clear sky
31,Bronnoysund,NO,65.4625,12.1997,44.6,93,40,3.44,scattered clouds
32,Torbay,CA,47.6666,-52.7314,60.28,89,20,17.27,few clouds
33,Hermanus,ZA,-34.4187,19.2345,55.8,88,79,9.01,broken clouds
34,Saint-Philippe,RE,-21.3585,55.7679,64.22,74,36,7.92,scattered clouds
35,Mehamn,NO,71.0357,27.8492,45.12,93,100,14.7,light rain
36,Punta Arenas,CL,-53.15,-70.9167,41.11,75,40,25.32,scattered clouds
37,Pisco,PE,-13.7,-76.2167,61.02,89,1,2.89,clear sky
38,Boden,SE,65.8252,21.6886,48.2,93,6,3.78,clear sky
39,Kalanguy,RU,51.0167,116.5167,71.31,56,23,11.83,few clouds
40,Bluff,NZ,-46.6,168.3333,44.8,83,100,16.06,moderate rain
41,East London,ZA,-33.0153,27.9116,62.98,68,92,17.69,light rain
42,Clyde River,CA,70.4692,-68.5914,41.23,81,90,18.41,overcast clouds
43,Port Alfred,ZA,-33.5906,26.891,60.24,83,83,12.37,light rain
44,Vaini,TO,-21.2,-175.2,72.84,68,55,21.59,broken clouds
45,Hilo,US,19.7297,-155.09,77.25,86,80,3.0,broken clouds
46,Mandera,KE,3.9366,41.867,74.48,67,83,17.38,broken clouds
47,Autun,FR,46.95,4.3,54.46,98,29,2.33,scattered clouds
48,Barrow,US,71.2906,-156.7887,43.27,78,89,13.65,overcast clouds
49,Savyntsi,UA,49.4026,37.0627,72.48,60,30,1.97,scattered clouds
50,Rio Grande,BR,-32.035,-52.0986,47.95,94,0,6.06,clear sky
51,Chuy,UY,-33.6971,-53.4616,50.92,93,84,6.29,broken clouds
52,Virginia Beach,US,36.8529,-75.978,77.02,88,25,8.23,scattered clouds
53,Bathsheba,BB,13.2167,-59.5167,80.26,78,0,8.28,clear sky
54,Bilibino,RU,68.0546,166.4372,47.7,52,98,10.47,overcast clouds
55,Albany,US,42.6001,-73.9662,64.35,94,100,0.76,overcast clouds
56,Rauma,FI,61.1272,21.5113,59.04,85,78,9.69,broken clouds
57,Richards Bay,ZA,-28.783,32.0377,67.57,72,93,15.23,overcast clouds
58,Jamestown,US,42.097,-79.2353,57.72,94,4,3.0,clear sky
59,Baturaja,ID,-4.1333,104.1667,80.98,81,75,2.77,broken clouds
60,Ancud,CL,-41.8697,-73.8203,47.97,88,100,3.47,overcast clouds
61,Tasiilaq,GL,65.6145,-37.6368,41.5,77,100,3.62,overcast clouds
62,Karratha,AU,-20.7377,116.8463,72.48,30,0,19.62,clear sky
63,Castro,BR,-24.7911,-50.0119,44.91,95,13,3.22,few clouds
64,Cherskiy,RU,68.75,161.3,42.89,67,72,21.52,broken clouds
65,Dunedin,NZ,-45.8742,170.5036,50.81,75,100,14.0,overcast clouds
